ENSEMBL_RNOR,Symbol
ENSRNOG00000061833,AABR07013798.2
ENSRNOG00000040213,AABR07014114.1
ENSRNOG00000039989,AABR07014177.1
ENSRNOG00000002130,AABR07014241.1
ENSRNOG00000046547,AABR07014241.2
ENSRNOG00000042166,AABR07014259.1
ENSRNOG00000039548,AABR07014487.1
ENSRNOG00000003606,AABR07014550.1
ENSRNOG00000047686,AABR07014550.2
ENSRNOG00000023418,AABR07014573.1
ENSRNOG00000059510,AABR07014573.2
ENSRNOG00000036377,AABR07014722.1
ENSRNOG00000024829,AABR07014804.1
ENSRNOG00000059943,AABR07014804.2
ENSRNOG00000002127,AABR07014836.1
ENSRNOG00000046540,AABR07014836.2
ENSRNOG00000041606,AABR07014980.1
ENSRNOG00000041525,AABR07014983.1
ENSRNOG00000021986,AABR07015006.1
ENSRNOG00000059045,AABR07015006.2
ENSRNOG00000026134,AABR07015180.1
ENSRNOG00000060383,AABR07015180.2
ENSRNOG00000022882,AABR07015294.1
ENSRNOG00000059339,AABR07015294.2
ENSRNOG00000027791,AABR07015346.1
ENSRNOG00000060879,AABR07015346.2
ENSRNOG00000036375,AABR07015608.1
ENSRNOG00000005077,AABR07015719.1
ENSRNOG00000048924,AABR07015719.2
ENSRNOG00000038427,AABR07015812.1
ENSRNOG00000036373,AABR07016556.1
ENSRNOG00000040438,AABR07016556.2
ENSRNOG00000042277,AABR07016578.1
ENSRNOG00000037522,AABR07016640.1
ENSRNOG00000041575,AABR07016650.1
ENSRNOG00000036370,AABR07016769.1
ENSRNOG00000028222,AABR07016805.1
ENSRNOG00000061027,AABR07016805.2
ENSRNOG00000006051,AABR07016841.1
ENSRNOG00000049689,AABR07016841.2
ENSRNOG00000040020,AABR07016976.1
ENSRNOG00000005869,AABR07017110.1
ENSRNOG00000049537,AABR07017110.2
ENSRNOG00000031251,AABR07017253.1
ENSRNOG00000039404,AABR07017662.1
ENSRNOG00000039432,AABR07017838.1
ENSRNOG00000042156,AABR07017874.1
ENSRNOG00000009074,AABR07017902.1
ENSRNOG00000051742,AABR07017902.2
ENSRNOG00000039060,AABR07017917.1
ENSRNOG00000031618,AABR07018028.1
ENSRNOG00000036382,AABR07018062.1
ENSRNOG00000036381,AABR07018115.1
ENSRNOG00000042281,AABR07018124.1
ENSRNOG00000038619,AABR07018155.1
ENSRNOG00000032317,AABR07018164.1
ENSRNOG00000031532,AABR07018167.1
ENSRNOG00000031720,AABR07018269.1
ENSRNOG00000021823,AABR07018318.1
ENSRNOG00000058992,AABR07018318.2
ENSRNOG00000041287,AABR07018321.1
ENSRNOG00000038122,AABR07018627.1
ENSRNOG00000033366,AABR07018646.1
ENSRNOG00000038078,AABR07018792.1
ENSRNOG00000009521,AABR07019061.1
ENSRNOG00000052000,AABR07019061.2
ENSRNOG00000024294,AABR07019083.1
ENSRNOG00000059767,AABR07019083.2
ENSRNOG00000032106,AABR07019102.1
ENSRNOG00000041485,AABR07019412.1
ENSRNOG00000038033,AABR07019870.1
ENSRNOG00000040105,AABR07019903.1
ENSRNOG00000039928,AABR07020786.1
ENSRNOG00000036368,AABR07020835.1
ENSRNOG00000026400,AABR07020999.1
ENSRNOG00000060460,AABR07020999.2
ENSRNOG00000036366,AABR07021018.1
ENSRNOG00000029425,AABR07021022.1
ENSRNOG00000061433,AABR07021022.2
ENSRNOG00000022174,AABR07021086.1
ENSRNOG00000059097,AABR07021086.2
ENSRNOG00000021575,AABR07021096.1
ENSRNOG00000058901,AABR07021096.2
ENSRNOG00000025794,AABR07021239.1
ENSRNOG00000060275,AABR07021239.2
ENSRNOG00000029859,AABR07021384.1
ENSRNOG00000061580,AABR07021384.2
ENSRNOG00000041572,AABR07021584.1
ENSRNOG00000034300,AABR07021736.1
ENSRNOG00000023269,AABR07021759.1
ENSRNOG00000059456,AABR07021759.2
ENSRNOG00000004127,AABR07021840.1
ENSRNOG00000048121,AABR07021840.2
ENSRNOG00000037928,AABR07021930.1
ENSRNOG00000023547,AABR07022022.1
ENSRNOG00000059558,AABR07022022.2
ENSRNOG00000023091,AABR07022046.1
ENSRNOG00000059404,AABR07022046.2
ENSRNOG00000040393,AABR07024593.1
ENSRNOG00000029131,AABR07024637.1
ENSRNOG00000061336,AABR07024637.2
ENSRNOG00000033014,AABR07024718.1
ENSRNOG00000030299,AABR07024742.1
ENSRNOG00000061743,AABR07024742.2
ENSRNOG00000028958,AABR07024795.1
ENSRNOG00000061268,AABR07024795.2
ENSRNOG00000042099,AABR07025051.1
ENSRNOG00000036388,AABR07025065.1
ENSRNOG00000032550,AABR07025074.1
ENSRNOG00000033638,AABR07025743.1
ENSRNOG00000038744,AABR07025819.1
ENSRNOG00000032977,AABR07025825.1
ENSRNOG00000031879,AABR07026048.1
ENSRNOG00000031959,AABR07026059.1
ENSRNOG00000038490,AABR07026233.1
ENSRNOG00000039287,AABR07026236.1
ENSRNOG00000038458,AABR07026240.1
ENSRNOG00000040436,AABR07026302.1
ENSRNOG00000038375,AABR07026311.1
ENSRNOG00000031681,AABR07026539.1
ENSRNOG00000036386,AABR07026546.1
ENSRNOG00000024169,AABR07026596.1
ENSRNOG00000059725,AABR07026596.2
ENSRNOG00000036404,AABR07026777.1
ENSRNOG00000018554,AABR07026797.1
ENSRNOG00000057152,AABR07026797.2
ENSRNOG00000031349,AABR07026842.1
ENSRNOG00000036402,AABR07026936.1
ENSRNOG00000011955,AABR07026997.1
ENSRNOG00000053386,AABR07026997.2
ENSRNOG00000041433,AABR07027009.1
ENSRNOG00000023936,AABR07027010.1
ENSRNOG00000059655,AABR07027010.2
ENSRNOG00000033625,AABR07027015.1
